+====================+===================+============================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                        |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[14]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[15]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[13]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[12]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[8]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[11]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[10]/CE                                                                      |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[9]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[15]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[2]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[19]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[18]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[16]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[17]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[13]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[14]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[15]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[12]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[6]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[7]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[4]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[5]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[9]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[10]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[3]/CE                                                                         |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[0]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[1]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[2]/CE                                                                       |
| clk_pll_i          | clk_sd_pll        | u_DirectLRU/writeMissTotal_reg[3]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[8]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[10]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[11]/CE                                                                       |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[9]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/readHitTotal_reg[0]/CE                                                                         |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[1]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[0]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[2]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[3]/CE                                                                        |
| clk_pll_i          | clk_cpu_pll       | u_DirectLRU/writeHitTotal_reg[5]/CE                                                                        |
